English;Chinese;KK;Example_en;Example_zh;col1;col2;col3;col4
area;地區；區域;ˈɛriə;This area is famous for its food.;這個地區以美食聞名。;0;0;0;0
arm;手臂;ɑrm;He broke his arm while playing basketball.;他打籃球時摔斷了手臂。;0;0;0;0
army;軍隊;ˈɑrmi;Her father is in the army.;她的父親在軍隊裡服役。;0;0;0;0
around;在...周圍；大約;əˈraʊnd;We walked around the park.;我們在公園周圍散步。;0;0;0;0
art;藝術;ɑrt;She loves modern art.;她喜歡現代藝術。;0;0;0;0
as;如同；當作;æz;He works as a teacher.;他以老師的身分工作。;0;0;0;0
ask;詢問；要求;æsk;May I ask you a question?;我可以問你一個問題嗎？;0;0;0;0
at;在；於;æt;She is waiting at the bus stop.;她正在公車站等車。;0;0;0;0
August;八月;ˈɔɡəst;We will travel in August.;我們將在八月旅行。;0;0;0;0
aunt;姑媽；姨媽;ænt;My aunt lives in Canada.;我的姑媽住在加拿大。;0;0;0;0
autumn;秋天;ˈɔtəm;The leaves turn red in autumn.;秋天樹葉會變紅。;0;0;0;0
away;離開；遠離;əˈweɪ;He moved away from his hometown.;他搬離了家鄉。;0;0;0;0
